codigo_ine,nombre,nombre_oficial,provincia_codigo,activo
05129,"Mirón, El","Mirón, El",05,True
05130,Mironcillo,Mironcillo,05,True
05131,Mirueña de los Infanzones,Mirueña de los Infanzones,05,True
05132,Mombeltrán,Mombeltrán,05,True
05133,Monsalupe,Monsalupe,05,True
05134,Moraleja de Matacabras,Moraleja de Matacabras,05,True
05135,Muñana,Muñana,05,True
05136,Muñico,Muñico,05,True
05138,Muñogalindo,Muñogalindo,05,True
05139,Muñogrande,Muñogrande,05,True
05140,Muñomer del Peco,Muñomer del Peco,05,True
05141,Muñopepe,Muñopepe,05,True
05142,Muñosancho,Muñosancho,05,True
05143,Muñotello,Muñotello,05,True
05144,Narrillos del Álamo,Narrillos del Álamo,05,True
05145,Narrillos del Rebollar,Narrillos del Rebollar,05,True
05147,Narros del Castillo,Narros del Castillo,05,True
05148,Narros del Puerto,Narros del Puerto,05,True
05149,Narros de Saldueña,Narros de Saldueña,05,True
05151,Navacepedilla de Corneja,Navacepedilla de Corneja,05,True
05152,Nava de Arévalo,Nava de Arévalo,05,True
05153,Nava del Barco,Nava del Barco,05,True
05154,Navadijos,Navadijos,05,True
05155,Navaescurial,Navaescurial,05,True
05156,Navahondilla,Navahondilla,05,True
05157,Navalacruz,Navalacruz,05,True
05158,Navalmoral,Navalmoral,05,True
05159,Navalonguilla,Navalonguilla,05,True
05160,Navalosa,Navalosa,05,True
05161,Navalperal de Pinares,Navalperal de Pinares,05,True
05162,Navalperal de Tormes,Navalperal de Tormes,05,True
05163,Navaluenga,Navaluenga,05,True
05164,Navaquesera,Navaquesera,05,True
05165,Navarredonda de Gredos,Navarredonda de Gredos,05,True
05166,Navarredondilla,Navarredondilla,05,True
05167,Navarrevisca,Navarrevisca,05,True
05168,"Navas del Marqués, Las","Navas del Marqués, Las",05,True
05169,Navatalgordo,Navatalgordo,05,True
05170,Navatejares,Navatejares,05,True
05171,Neila de San Miguel,Neila de San Miguel,05,True
05172,Niharra,Niharra,05,True
05173,Ojos-Albos,Ojos-Albos,05,True
05174,Orbita,Orbita,05,True
05175,"Oso, El","Oso, El",05,True
05176,Padiernos,Padiernos,05,True
05177,Pajares de Adaja,Pajares de Adaja,05,True
05178,Palacios de Goda,Palacios de Goda,05,True
05179,Papatrigo,Papatrigo,05,True
05180,"Parral, El","Parral, El",05,True
05181,Pascualcobo,Pascualcobo,05,True
05182,Pedro Bernardo,Pedro Bernardo,05,True
05183,Pedro-Rodríguez,Pedro-Rodríguez,05,True
05184,Peguerinos,Peguerinos,05,True
05185,Peñalba de Ávila,Peñalba de Ávila,05,True
05186,Piedrahíta,Piedrahíta,05,True
05187,Piedralaves,Piedralaves,05,True
05188,Poveda,Poveda,05,True
05189,Poyales del Hoyo,Poyales del Hoyo,05,True
05190,Pozanco,Pozanco,05,True
05191,Pradosegar,Pradosegar,05,True
05192,Puerto Castilla,Puerto Castilla,05,True
05193,Rasueros,Rasueros,05,True
05194,Riocabado,Riocabado,05,True
05195,Riofrío,Riofrío,05,True
05196,Rivilla de Barajas,Rivilla de Barajas,05,True
05197,Salobral,Salobral,05,True
05198,Salvadiós,Salvadiós,05,True
05199,San Bartolomé de Béjar,San Bartolomé de Béjar,05,True
05200,San Bartolomé de Corneja,San Bartolomé de Corneja,05,True
05201,San Bartolomé de Pinares,San Bartolomé de Pinares,05,True
05204,Sanchidrián,Sanchidrián,05,True
05205,Sanchorreja,Sanchorreja,05,True
05206,San Esteban de los Patos,San Esteban de los Patos,05,True
05207,San Esteban del Valle,San Esteban del Valle,05,True
05208,San Esteban de Zapardiel,San Esteban de Zapardiel,05,True
05209,San García de Ingelmos,San García de Ingelmos,05,True
05210,San Juan de la Encinilla,San Juan de la Encinilla,05,True
05211,San Juan de la Nava,San Juan de la Nava,05,True
05212,San Juan del Molinillo,San Juan del Molinillo,05,True
05213,San Juan del Olmo,San Juan del Olmo,05,True
05214,San Lorenzo de Tormes,San Lorenzo de Tormes,05,True
05215,San Martín de la Vega del Alberche,San Martín de la Vega del Alberche,05,True
05216,San Martín del Pimpollar,San Martín del Pimpollar,05,True
05217,San Miguel de Corneja,San Miguel de Corneja,05,True
05218,San Miguel de Serrezuela,San Miguel de Serrezuela,05,True
05219,San Pascual,San Pascual,05,True
05220,San Pedro del Arroyo,San Pedro del Arroyo,05,True
05221,Santa Cruz del Valle,Santa Cruz del Valle,05,True
05222,Santa Cruz de Pinares,Santa Cruz de Pinares,05,True
05224,Santa María del Arroyo,Santa María del Arroyo,05,True
