codigo_ine_provincia,nombre_provincia,nombre_fundacion,enlace_detalle,codigo_registro,timestamp
09,Burgos,"DEL MOVIMIENTO CIUDADANO ANTISIDA, FUNSIDA",https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=17245&index=1&lang=es_ES,=17245,2026-01-27T18:50:12.802350
09,Burgos,OXÍGENO,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=17369&index=1&lang=es_ES,=17369,2026-01-27T18:50:12.823059
09,Burgos,Laia Natura,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=17401&index=1&lang=es_ES,=17401,2026-01-27T18:50:12.833198
09,Burgos,GIAFYS-CÁNCER (GRUPO DE INVESTIGACIÓN EN ACTIVIDAD FÍSICA Y SALUD-CÁNCER),https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=17548&index=1&lang=es_ES,=17548,2026-01-27T18:50:12.854120
09,Burgos,ALONDRA RICOTI,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=18313&index=1&lang=es_ES,=18313,2026-01-27T18:50:12.874766
09,Burgos,CANARIA PARA LA DIVULGACIÓN DE LA PREVENCIÓN Y SALUD BUCODENTAL FRANCISCO,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=18745&index=1&lang=es_ES,=18745,2026-01-27T18:50:12.895392
10,Cáceres,HABORI,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=2503&index=1&lang=es_ES,=2503,2026-01-27T18:50:16.469631
10,Cáceres,DE LA SOCIEDAD EXTREMEÑA DE ENDOCRINOLOGÍA Y NUTRICIÓN,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=4591&index=1&lang=es_ES,=4591,2026-01-27T18:50:16.490611
10,Cáceres,DEL CABALLO EXTREMEÑO-PURA RAZA ESPAÑOLA,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=4633&index=1&lang=es_ES,=4633,2026-01-27T18:50:16.506131
10,Cáceres,CHENREZIG,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=5058&index=1&lang=es_ES,=5058,2026-01-27T18:50:16.518852
10,Cáceres,CENTRO DE INVESTIGACIÓN SOBRE LA NUEVA CIVILIZACIÓN,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=5495&index=1&lang=es_ES,=5495,2026-01-27T18:50:16.537030
10,Cáceres,CLUB POLIDEPORTIVO CACEREÑO,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=5634&index=1&lang=es_ES,=5634,2026-01-27T18:50:16.557654
10,Cáceres,GASPAR DEL BÚFALO,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=5740&index=1&lang=es_ES,=5740,2026-01-27T18:50:16.568108
10,Cáceres,XAVIER DE SALAS,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=10129&index=1&lang=es_ES,=10129,2026-01-27T18:50:16.588660
10,Cáceres,CORNELIUS VANDERBILT WHITNEY,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=10160&index=1&lang=es_ES,=10160,2026-01-27T18:50:16.609036
10,Cáceres,MIRABEL,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=10161&index=1&lang=es_ES,=10161,2026-01-27T18:50:16.630434
10,Cáceres,AL-ANDALUS,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=11515&index=1&lang=es_ES,=11515,2026-01-27T18:50:16.645858
10,Cáceres,GUAYASAMIN (DELEGACIÓN EN ESPAÑA),https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=14154&index=1&lang=es_ES,=14154,2026-01-27T18:50:16.662109
10,Cáceres,KURAMAI,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=14182&index=1&lang=es_ES,=14182,2026-01-27T18:50:16.692165
10,Cáceres,CIENCIAS DE LA DOCUMENTACIÓN,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=14754&index=1&lang=es_ES,=14754,2026-01-27T18:50:16.707906
