Número de Inscripción,Número de Inscripción Antiguo,Sección,Nombre,Nombre Genérico,Fecha de Inscripción,Tipo de Entidad,Confesión,Subconfesión,Ámbito,Domicilio,Poblacion,Provincia,Codigo Postal,Comunidad Autónoma,Web,Representantes legales,Federaciones
16432,3302-/0-SE/C,Sección Especial (Católicas),COFRADIA DE NUESTRO PADRE JESUS NAZARENO Y MARIA SANTISIMA DE LA SOLEDAD,,19940314,ASOCIACIÓN,CATÓLICOS, ,,"C/ ESTRELLA, 20",AGUILAS,MURCIA,30880,MURCIA,,JOSEFA GABARRON VERA,"CABILDO DE COFRADIAS Y HERMANDADES PASIONARIAS DE AGUILAS , CABILDO DE COFRADIAS Y HERMANDADES PASIONARIAS DE AGUILAS "
21990,8802-/-SE/C,Sección Especial (Católicas),COFRADIA DE NUESTRO PADRE JESUS NAZARENO Y SANTO ENTIERRO,,20140211,ASOCIACIÓN,CATÓLICOS, ,,"PLAZA VIEJA, S/N (PARROQUIA DE SANTA MARIA MAGDALENA)",CEUTI,MURCIA,0,MURCIA,,JESUS HERNANDEZ GARCIA,CABILDO SUPERIOR DE COFRADIAS DE CEUTI
27142,,Sección Especial (Católicas),"COFRADIA DE NUESTRO PADRE JESUS NAZARENO, DE CARAVACA DE LA CRUZ (MURCIA)",,20240112,ASOCIACIÓN,CATÓLICOS, ,,"C/ CANALEJAS, 28",CARAVACA DE LA CRUZ,MURCIA,30400,MURCIA,,ANTONIO MORENILLA MARTINEZ,
27872,,Sección Especial (Católicas),"COFRADIA DE NUESTRO PADRE JESUS NAZARENO, DE LORQUI(MURCIA)",,20250603,ASOCIACIÓN,CATÓLICOS, ,,"IGLESIA DE SANTIAGO APOSTOL - C/ REINA, 1",LORQUI ,MURCIA,30564,MURCIA,,SEBASTIAN MARIN ASENSIO,CABILDO SUPERIOR DE COFRADIAS DE LORQUI (MURCIA)
27917,,Sección Especial (Católicas),"COFRADIA DE NUESTRO PADRE JESUS NAZARENO, DE PLIEGO",,20250619,ASOCIACIÓN,CATÓLICOS, ,,"PARROQUIA DE SANTIAGO APÓSTOL - C/ DEL PILAR, 2",PLIEGO,MURCIA,30176,MURCIA,,BALTASAR ABELLAN FAURA,
27470,,Sección Especial (Católicas),"COFRADIA DE NUESTRO PADRE JESUS NAZARENO, DE PUERTO LUMBRERAS",,20240927,ASOCIACIÓN,CATÓLICOS, ,,"C/ FRANCISCO TIRADO, 10",PUERTO LUMBRERAS,MURCIA,30890,MURCIA,,MARIA DEL CARMEN MATEOS GAZQUEZ,CABILDO DE COFRADIAS PASIONARIAS DE PUERTO LUMBRERAS 
27549,,Sección Especial (Católicas),"COFRADIA DE NUESTRO PADRE JESUS NAZARENO, DE SANTOMERA",,20241104,ASOCIACIÓN,CATÓLICOS, ,,"PLAZA DE LA IGLESIA, 1 PARROQUIA DE NUESTRA SEÑORA DEL ROSARIO  ",SANTOMERA,MURCIA,30140,MURCIA,,MARIA JESUS DESAMPARADOS GEA CAMPILLO,CABILDO SUPERIOR DE COFRADIAS PASIONARIAS DE SANTOMERA (MURCIA)
27488,,Sección Especial (Católicas),"COFRADIA DE NUESTRO PADRE JESUS, DE TORREAGUERA",,20241010,ASOCIACIÓN,CATÓLICOS, ,,"PLAZA DE LA IGLESIA, 1 PARROQUIA DEL CRISTO DEL VALLE",TORREAGÜERA DE MURCIA,MURCIA,30579,MURCIA,,ANTONIO ORENES ALBALADEJO,CABILDO SUPERIOR DE HERMANDADES Y COFRADIAS DE TORREAGÜERA (MURCIA)
18857,5672-/-SE/C,Sección Especial (Católicas),"COFRADIA DE NUESTRO SEÑOR DE LA COLUMNA, EL DESCENDIMIENTO Y SANTISIMA VIRGEN MARIA DE LAS ANGUSTIAS",,20040324,ASOCIACIÓN,CATÓLICOS, ,,"POETA GARCIA LORCA, 16 - BAJO",ALCANTARILLA,MURCIA,30820,MURCIA,www.cofradiacristodelacolumna.com,ANTONIO LOPEZ TORMOS,
24263,,Sección Especial (Católicas),COFRADIA DE NUESTRO SEÑOR DEL POZO Y LA SAMARITANA DE ALGUAZAS,,20180712,ASOCIACIÓN,CATÓLICOS, ,,PLAZA DE LA IGLESIA 1,ALGUAZAS ,MURCIA,30560,MURCIA,,JOSE PEÑALVER CANDEL,JUNTA DE HERMANDADES Y COFRADIAS PASIONARIAS DE ALGUAZAS (MURCIA)
