Denomiancion ERE,provincia_entidad,poblacion_entidad,Denominacion BDNS,provincia_subvencionada,localidad_subvencionada
	MONASTERIO DE LA PURISIMA CONCEPCION	,madrid,chinchon,Hermandad de la Purísima Concepción,córdoba,córdoba
	MONASTERIO DE SAN JOSE	,madrid,las rozas,Siervas de San José,madrid,madrid
	MONASTERIO DE SAN JUAN EVANGELISTA	,madrid,ciempozuelos,Cofradía San Juan Evangelista,córdoba,córdoba
	MONASTERIO DE SANTA MARIA DE EL PAULAR	,madrid,rascafria,Monasterio Santa María la Real,la rioja,nájera
	MONASTERIO DE SANTA TERESA DE JESUS	,madrid,madrid,Parroquia Santa Teresa de Jesús,madrid,colmenar
	OBLATAS MISIONERAS DE MARIA INMACULADA	,madrid,madrid,Religiosas de María Inmaculada,madrid,madrid
	ORDEN COMPAÃIA DE JESUS (JESUITAS)	,madrid,madrid,Cofradía de Jesús Resucitado,córdoba,rute
	PARROQUIA JESUS DE NAZARET	,madrid,madrid,Cofradía Jesús de Nazaret,alicante,alicante
	PROVINCIA DE MADRID	,madrid,madrid,Consejo Evangélico de Madrid,madrid,madrid
	PROVINCIA DE SANTIAGO	,madrid,madrid,Parroquia de Santiago,cuenca,cuenca
	PROVINCIA DEL SAGRADO CORAZON	,madrid,madrid,Caridad Sagrado Corazón,madrid,madrid
	PROVINCIA NUESTRA SEÃORA DE MONTSERRAT	,madrid,madrid,Parroquia N. Sra. de Montserrat,tenerife,la palma
	PROVINCIA NUESTRA SEÃORA DEL PILAR	,madrid,madrid,Parroquia N. Sra. del Pilar,granada,víznar
	PROVINCIA NUESTRA SEÃORA DEL PILAR	,madrid,pozuelo de alarcon,Parroquia N. Sra. del Pilar,granada,víznar
	REAL CONVENTO DE SANTA ISABEL	,madrid,madrid,Clarisas - Convento Santa Isabel,toledo,toledo
	REAL MONASTERIO DE LA ENCARNACION	,madrid,madrid,Dominicas - Monasterio de la Encarnación,cáceres,plasencia
	RELIGIOSAS DE MARIA INMACULADA MISIONERAS CLARETIANAS	,madrid,madrid,Religiosas de María Inmaculada,madrid,madrid
	RELIGIOSAS DE MARIA INMACULADA MISIONERAS CLARETIANAS	,madrid,madrid,Religiosas de María Inmaculada,madrid,madrid
	RELIGIOSAS DE MARIA INMACULADA MISIONERAS CLARETIANAS	,madrid,madrid,Religiosas de María Inmaculada,madrid,madrid
	RELIGIOSAS DE MARIA INMACULADA MISIONERAS CLARETIANAS	,madrid,madrid,Religiosas de María Inmaculada,madrid,madrid
	RESIDENCIA COMPAÃIA DE JESUS	,madrid,madrid,Siervas de Jesús,madrid,madrid
	RESIDENCIA SAGRADO CORAZON	,madrid,madrid,Jesuitas - Residencia Sagrado Corazón,madrid,madrid
	RESIDENCIA SAGRADO CORAZON DE JESUS	,madrid,madrid,Hermanos del Sagrado Corazón de Jesús,madrid,madrid
	RESIDENCIA SAGRADO CORAZON DE JESUS	,madrid,madrid,Hermanos del Sagrado Corazón de Jesús,madrid,madrid
ACCION CATOLICA GENERAL,madrid,madrid,Acción Católica General,madrid,madrid
ACCION CATOLICA GENERAL DE MADRID,madrid,madrid,Consejo Evangélico de Madrid,madrid,madrid
ARCHICOFRADIA DE LA REAL E ILUSTRE ESCLAVITUD DE NUESTRO PADRE JESUS NAZARENO,madrid,aranjuez,Archicofradía de Nuestro Padre Jesús Nazareno,córdoba,lucena
ASOCIACION BENDITA MARIA,madrid,pozuelo de alarcon,La Misión de María,madrid,madrid
ASOCIACION CATOLICA ESPAÃOLA DE SERVICIOS A LA JUVENTUD FEMENINA ACISJF,madrid,madrid,A. Católica de Servicios a la Juventud Femenina,madrid,madrid
ASOCIACION CRISTO DEL PERDON,madrid,madrid,A. Cristo del Perdón,murcia,cartagena
ASOCIACION DE HIJAS DE MARIA INMACULADA,madrid,madrid,Religiosas de María Inmaculada,madrid,madrid
ASOCIACION DE LOS HIJOS DEL SAGRADO CORAZON,madrid,madrid,Misioneros del Sagrado Corazón,madrid,madrid
ASOCIACION DE MARIA AUXILIADORA,madrid,alcala de henares,Asociación María Auxiliadora,málaga,antequera
ASOCIACION DEL HOSPITAL DE HERMANAS HOSPITALARIAS DE JESUS NAZARENO Y LOS DOLORES,madrid,madrid,Hermanas Hospitalaria SCJ - Colegio Jesús Nazareno,madrid,getafe
ASOCIACION DEL SANTO SEPULCRO,madrid,san lorenzo de el escorial,Congregación del Santo Sepulcro,jaén,jaén
ASOCIACION FRANCISCANOS DE MARIA,madrid,madrid,La Misión de María,madrid,madrid
ASOCIACION GRUPOS DE ORACION DEL CORAZON DE JESUS,madrid,villaviciosa de odon,Apostólicas del Corazón de Jesús,madrid,madrid
ASOCIACION HERALDOS DEL EVANGELIO,madrid,madrid,Servidoras del Evangelio,madrid,madrid
ASOCIACION MARIA ANA MOGAS,madrid,madrid,Asociación María Auxiliadora,málaga,antequera
ASOCIACION NACIONAL DE CARIDAD DE SAN VICENTE DE PAUL,madrid,madrid,Asociación de Caridad San Vicente de Paul,alicante,alicante
"ASOCIACION NUESTRA SEÃORA DEL CARMEN ",madrid,madrid,A. Nuestra Señora del Carmen,málaga,málaga
ASOCIACION PAN Y AGUA DE MADRID,madrid,madrid,Consejo Evangélico de Madrid,madrid,madrid
CARITAS CASTRENSE,madrid,madrid,Cáritas Castrense,madrid,madrid
CARITAS DIOCESANA DE MADRID,madrid,madrid,Consejo Evangélico de Madrid,madrid,madrid
CASA CENTRAL SAGRADO CORAZON,madrid,mostoles,Jesuitas - Centro Sagrado Corazón,madrid,madrid
CASA DE AUXILIARES PARROQUIALES DE CRISTO SACERDOTE,madrid,getafe,Auxiliares Parroquiales Cristo Sacerdote,valencia,picanya
CASA SANTA MARIA DEL POZO,madrid,madrid,Parroquia Santa María del Pozo,madrid,madrid
CASA-COMUNIDAD MARIA INMACULADA,madrid,madrid,Religiosas de María Inmaculada,madrid,madrid
COFRADIA DE JESUS DE MEDINACELI,madrid,cadalso de los vidrios,Cofradía de Jesús el Rico,málaga,málaga
COFRADIA DE LA SANTA VERA CRUZ,madrid,arevalo,Cofradía de la Santa Vera Cruz,álava,amurrio
COFRADIA DE LA SANTISIMA TRINIDAD DE MADRID,madrid,madrid,Cofradía Santísima Trinidad,navarra,pamplona
COFRADIA DE LA VERA CRUZ,madrid,el escorial,Cofradía de la Vera Cruz,burgos,medina de pomar
COFRADIA DE LA VIRGEN DE LOS DOLORES,madrid,villamanta,Hijas de la Virgen de los Dolores,cáceres,trujillo
COFRADIA DE LA VIRGEN DOLOROSA,madrid,pelayos de la presa,Cofradía Virgen Dolorosa,barcelona,la pobla de v.
COFRADIA DE NUESTRO PADRE JESUS CAIDO,madrid,san lorenzo de el escorial,Cofradía de Nuestro Padre Jesús,jaén,jaén
COFRADIA DE SAN ISIDRO LABRADOR,madrid,bustarviejo,Hermandad San Isidro Labrador,ciudad real,alcázar
COFRADIA DE SAN ISIDRO LABRADOR,madrid,torrejon de velasco,Hermandad San Isidro Labrador,ciudad real,alcázar
COFRADIA DEL CRISTO DE LA PRECIOSA SANGRE,madrid,"leganes (la fortuna)

leganes, la fortuna",Cofradía del Cristo Resucitado,murcia,beniel
COFRADIA DEL SANTISIMO CRISTO DE LA VERA CRUZ,madrid,madrid,Cofradía del Santísimo Cristo,zaragoza,malon
COFRADIA DEL SANTISIMO CRISTO DEL BUEN CAMINO,madrid,collado villalba,Cofradía del Santísimo Cristo,zaragoza,malon
COFRADIA DEL SANTISIMO CRISTO DEL PERDON,madrid,serranillos del valle,Cofradía del Santísimo Cristo,zaragoza,malon
COFRADIA DEL SANTISIMO SACRAMENTO,madrid,madrid,Cofradía del Santísimo Sacramento,burgos,burgos
COFRADIA DEL SANTISIMO SACRAMENTO,madrid,santorcaz,Cofradía del Santísimo Sacramento,burgos,burgos
COFRADIA DEL SANTISIMO SACRAMENTO,madrid,robledillo de la jara,Cofradía del Santísimo Sacramento,burgos,burgos
COLEGIO MADRE DE DIOS,madrid,madrid,Mercedarias - Colegio Madre de Dios,murcia,lorca
COMUNIDAD COLEGIO MARIA AUXILIADORA,madrid,majadahonda,Salesianas - AMPA Colegio María Auxiliadora,madrid,majadahonda
COMUNIDAD DE OBLACION DE MARIA,madrid,madrid,La Misión de María,madrid,madrid
"COMUNIDAD DE OBLATAS DEL SANTISIMO REDENTOR MADRID ",madrid,madrid,Oblatas del Santísimo Redentor,almería,almería
COMUNIDAD DE RELIGIOSAS DEL SAGRADO CORAZON DE JESUS. ALCOBENDAS. MADRID,madrid,alcobendas,Esclavas del Sagrado Corazón de Jesús,madrid,madrid
"COMUNIDAD DE RELIGIOSAS DEL SAGRADO CORAZON DE JESUS. CALLE ROMERO ROBLEDO, 27. MADRID",madrid,madrid,Esclavas del Sagrado Corazón de Jesús,madrid,madrid
"COMUNIDAD DE RELIGIOSAS DEL SAGRADO CORAZON DE JESUS. PLAZA DEL ENCUENTRO, 1. MADRID",madrid,madrid,Esclavas del Sagrado Corazón de Jesús,madrid,madrid
COMUNIDAD DE SAN BLAS,madrid,madrid,Parroquia de San Blas,tenerife,villa de mazo
COMUNIDAD EN COLEGIO LA INMACULADA-MARILLAC,madrid,madrid,Concepcionistas - Colegio La Inmaculada,madrid,madrid
COMUNIDAD EN COLEGIO MARIA INMACULADA-MADRID,madrid,madrid,Religiosas de María Inmaculada,madrid,madrid
COMUNIDAD EN COLEGIO SANTA MARIA MICAELA,madrid,madrid,Adoratrices - Colegio Santa María Micaela,valladolid,valladolid
COMUNIDAD EN COLEGIO SANTISIMA TRINIDAD,madrid,villalba,Trinitarias - Colegio Santísima Trinidad,salamanca,salamanca
COMUNIDAD LA INMACULADA,madrid,guadarrama,Parroquia La Inmaculada,córdoba,villanueva del r
COMUNIDAD MARIA REINA DE LA PAZ,madrid,pozuelo de alarcon,Comunidad Islámica Mezquita de la Paz,barcelona,barcelona
"COMUNIDAD MISIONERAS DE JESUS, MARIA Y JOSE EN ARAVACA",madrid,madrid,Misioneras de Jesús María y José - Escuela Infantil,barcelona,sabadell
"COMUNIDAD MISIONERAS DE JESUS, MARIA Y JOSE EN MADRID",madrid,madrid,Misioneras de Jesús María y José - Escuela Infantil,barcelona,sabadell
COMUNIDAD SANTA MARIA,madrid,madrid,Fundación Santa María,teruel,albarracín
COMUNIDAD SIERVOS DE CRISTO VIVO,madrid,madrid,Legionarios de Cristo,madrid,madrid
COMUNIDAD SIERVOS DE JESUS MADRID,madrid,madrid,Siervas de Jesús,madrid,madrid
CONFERENCIA ESPAÃOLA DE RELIGIOSOS (CONFER),madrid,madrid,Conferencia Española de Religiosos,madrid,madrid
CONGREGACION ESTADO DE MARIA INMACULADA (C.E.M.I),madrid,madrid,Religiosas de María Inmaculada,madrid,madrid
CONGREGACION MARIANA PURISIMO CORAZON DE MARIA,madrid,pozuelo de alarcon,Congregación Avemariana - Colegio del Ave María,bizkaia,bilbao
CONVENTO DE SAN JUAN DE LA CRUZ,madrid,madrid,Casa de San Juan de la Cruz,murcia,caravaca
DIGNISIMA HERMANDAD DEL SANTISIMO CRISTO DEL MILAGRO,madrid,villaviciosa de odon,Hermandad Santísimo Cristo Ecce Homo,cuenca,cuenca
DISCIPULOS COMUNIDAD STELLA MARIS,madrid,madrid,Comunidad Stella Maris,madrid,madrid
ESCLAVAS DE DIVINO CORAZON-AVENIDA DEL VALLE,madrid,madrid,Esclavas del Divino Corazón,huelva,huelva
ESCLAVAS DEL DIVINO CORAZON-CHAMARTIN 3Âª PLANTA,madrid,madrid,Esclavas del Divino Corazón,huelva,huelva
ESCLAVAS DEL DIVINO CORAZON-CHAMARTIN 5Âª PLANTA,madrid,madrid,Esclavas del Divino Corazón,huelva,huelva
ESCLAVAS DEL DIVINO CORAZON-CHAMARTIN 6Âº PLANTA,madrid,madrid,Esclavas del Divino Corazón,huelva,huelva
ESCLAVAS DEL DIVINO CORAZON-DOCTOR ESQUERDO,madrid,madrid,Esclavas del Divino Corazón,huelva,huelva
GRUPO SANTA MARIA,madrid,madrid,Fundación Santa María,teruel,albarracín
HERMANAS COMPASIONISTAS SIERVAS DE MARIA,madrid,madrid,Hermanas Hospitalarias - Hospital Beata María Ana,madrid,madrid
HERMANAS OBLATAS DE CRISTO SACERDOTE,madrid,madrid,Oblatas de Cristo Sacerdote,huelva,huelva
"HERMANDAD DE ""SAN ISIDRO LABRADOR""",madrid,titulcia,Hermandad San Isidro Labrador,ciudad real,alcázar
HERMANDAD DE JESUS DEL GRAN PODER,madrid,villarejo de salvanes,Hermandad de Jesús Obrero,badajoz,badajoz
HERMANDAD DE JESUS EL NAZARENO,madrid,colmenar viejo,Hermandad de Jesús Nazareno,almería,benahadux
HERMANDAD DE LA PURISIMA CONCEPCION,madrid,cabanillas de la sierra,Hermandad de la Purísima Concepción,córdoba,córdoba
HERMANDAD DE LA PURISIMA CONCEPCION,madrid,leganes,Hermandad de la Purísima Concepción,córdoba,córdoba
HERMANDAD DE LA SANTA PASION,madrid,fuenlabrada,Hermandad de la Pasión,navarra,pamplona
HERMANDAD DE LA VIRGEN DE LA ESPERANZA,madrid,valdemorillo,Hermandad Virgen de la Esperanza,valencia,la pobla de f.
HERMANDAD DE LA VIRGEN DEL ROSARIO,madrid,majadahonda,Hermandad Virgen del Rosario,madrid,torrejón
HERMANDAD DE NUESTRA SEÃORA DE LAS ANGUSTIAS,madrid,mejorada del campo,Hermandad N. Sra. de las Angustias,almería,cuevas de a.
HERMANDAD DE NUESTRO PADRE JESUS NAZARENO,madrid,villamanrique de tajo,Hermandad Salesiano de Nuestro Padre Jesús Nazareno,córdoba,palma del río
HERMANDAD DE NUESTRO PADRE JESUS NAZARENO Y SAN JOSE OBRERO,madrid,pinto,Hermandad Salesiano de Nuestro Padre Jesús Nazareno,córdoba,palma del río
HERMANDAD DE SACERDOTES OPERARIOS DIOCESANOS DEL SAGRADO CORAZON DE JESUS,madrid,madrid,Hermanos del Sagrado Corazón de Jesús,madrid,madrid
HERMANDAD DE SAN ANTONIO,madrid,colmenar viejo,Hermandad de San Antonio,madrid,el escorial
HERMANDAD DE SAN ANTONIO ABAD,madrid,san lorenzo de el escorial,Hermandad de San Antonio Abad,albacete,hellín
HERMANDAD DE SAN BERNABE APOSTOL,madrid,el escorial,Hermandad de San Bernabé,madrid,el escorial
HERMANDAD DE SAN CRISTOBAL,madrid,san martin de la vega,Hermandad de San Cristóbal,ciudad real,bolaños de c.
HERMANDAD DE SAN CRISTOBAL,madrid,leganes,Hermandad de San Cristóbal,ciudad real,bolaños de c.
HERMANDAD DE SAN ISIDRO LABRADOR,madrid,villaviciosa de odon,Hermandad San Isidro Labrador,ciudad real,alcázar
HERMANDAD DE SAN MIGUEL ARCANGEL,madrid,navalagamella,Fundación San Miguel Arcángel,badajoz,zafra
HERMANDAD DE SAN NICASIO DE LEGANES,madrid,leganes,Hermandad de San Nicasio,madrid,leganés
HERMANDAD DE SAN ROQUE,madrid,colmenar de oreja,Hermandad de San Roque,albacete,tobarra
HERMANDAD DE SAN SEBASTIAN,madrid,san lorenzo de el escorial,Hermandad de San Sebastián,barcelona,terrassa
HERMANDAD DE SAN SEBASTIAN,madrid,boadilla del monte,Hermandad de San Sebastián,barcelona,terrassa
HERMANDAD DE SAN SEBASTIAN,madrid,los molinos,Hermandad de San Sebastián,barcelona,terrassa
HERMANDAD DEL CRISTO DE LA ASCENSIÃN,madrid,torrejãn de velasco,Hermandad del Cristo de la Paz,barcelona,castelldefels
HERMANDAD DEL SANTISIMO CRISTO DE GRACIA,madrid,chinchon,Hermandad del Santo Cristo,barcelona,sant pere de r.
HERMANDAD DEL SANTISIMO CRISTO DE LA AGONIA,madrid,humanes,Hermandad del Cristo de la Paz,barcelona,castelldefels
HERMANDAD DEL SANTISIMO CRISTO DE LA BUENA MUERTE,madrid,san lorenzo de el escorial,Hermandad del Cristo de la Paz,barcelona,castelldefels
HERMANDAD DEL SANTISIMO CRISTO DE LA ESPERANZA,madrid,algete,Hermandad del Cristo de la Paz,barcelona,castelldefels
HERMANDAD DEL SANTISIMO CRISTO DE LA FE DE SANTORCAZ,madrid,santorcaz,Hermandad del Cristo de la Paz,barcelona,castelldefels
HERMANDAD DEL SANTISIMO CRISTO DE LA FLAGELACION,madrid,belmonte de tajo,Hermandad del Cristo de la Paz,barcelona,castelldefels
HERMANDAD DEL SANTISIMO CRISTO DE LA HUMILDAD,madrid,san martin de valdeiglesias,Hermandad Santísimo Cristo Ecce Homo,cuenca,cuenca
HERMANDAD DEL SANTISIMO CRISTO DE LA LUZ,madrid,daganzo de arriba,Hermandad del Cristo de la Paz,barcelona,castelldefels
HERMANDAD DEL SANTISIMO CRISTO DE LA PACIENCIA,madrid,velilla de san antonio,Hermandad del Cristo de la Paz,barcelona,castelldefels
HERMANDAD DEL SANTISIMO CRISTO DE LA PASION,madrid,leganes,Hermandad del Cristo de la Paz,barcelona,castelldefels
HERMANDAD DEL SANTISIMO CRISTO DE LA SANGRE,madrid,fresnedillas de la oliva,Hermandad del Cristo de la Paz,barcelona,castelldefels
HERMANDAD DEL SANTISIMO CRISTO DE LA VERA CRUZ,madrid,casarrubuelos,Hermandad del Cristo de la Paz,barcelona,castelldefels
HERMANDAD DEL SANTISIMO CRISTO DE LOS REMEDIOS,madrid,san sebastian de los reyes,Hermandad Santísimo Cristo Ecce Homo,cuenca,cuenca
HERMANDAD DEL SANTISIMO CRISTO DE LOS ULTRAJES,madrid,valdetorres de jarama,Hermandad Santísimo Cristo Ecce Homo,cuenca,cuenca
HERMANDAD DEL SANTISIMO CRISTO DEL AMOR,madrid,navas del rey,Hermandad Santísimo Cristo Ecce Homo,cuenca,cuenca
HERMANDAD DEL SANTISIMO CRISTO DEL AMPARO,madrid,torrejon de la calzada,Hermandad Santísimo Cristo Ecce Homo,cuenca,cuenca
HERMANDAD DEL SANTISIMO CRISTO DEL HUMILLADERO,madrid,cadalso de los vidrios,Hermandad Santísimo Cristo Ecce Homo,cuenca,cuenca
HERMANDAD DEL SANTISIMO CRISTO DEL MILAGRO,madrid,humanes,Hermandad Santísimo Cristo Ecce Homo,cuenca,cuenca
HERMANDAD DEL SANTISIMO CRISTO DEL SOCORRO DE MECO,madrid,meco,Hermandad Santísimo Cristo Ecce Homo,cuenca,cuenca
HERMANDAD DEL SANTISIMO SACRAMENTO,madrid,morata de tajuãa,Hermandad del Santísimo Sacramento,cuenca,mota del cuervo
HERMANDAD DEL SANTO ENTIERRO,madrid,coslada,Hermandad del Santo Entierro,cádiz,cádiz
HERMANDAD DEL SANTO ENTIERRO,madrid,mostoles,Hermandad del Santo Entierro,cádiz,cádiz
HERMANDAD DEL SANTÃSIMO CRISTO DEL PERDÃN,madrid,loeches,Hermandad del Santo Cristo,barcelona,sant pere de r.
HERMANDAD HIJAS DE MARIA,madrid,chinchon,Hijas de María,madrid,madrid
HERMANDAD HIJAS DE MARIA,madrid,torrejãn de velasco,Hijas de María,madrid,madrid
HERMANDAD NUESTRA SEÃORA  DE LA SOLEDAD,madrid,ciempozuelos,Hermandad N. Sra. de la Soledad,córdoba,fuenteobejuna
HERMANDAD NUESTRA SEÃORA DE LA SOLEDAD,madrid,villaviciosa de odon,Hermandad N. Sra. de la Soledad,córdoba,fuenteobejuna
HERMANDAD NUESTRA SEÃORA DEL CARMEN,madrid,valdelaguna,Hermandad N. Sra. del Carmen,almería,almería
HERMANDAD NUESTRA SEÃORA DEL ROCIO,madrid,mostoles,Hermandad N. Sra. del Rocío,madrid,madrid
HERMANDAD SACRAMENTAL,madrid,villa del prado,Hermandad Sacramental,sevilla,albaida
HERMANDAD SANTISIMO CRISTO DE LA ESPERANZA,madrid,cubas de la sagra,Hermandad Cristo de la Esperanza,guadalajara,guadalajara
HERMANDAD VIRGEN DEL SOCORRO,madrid,villamanta,Hermandad Cristo del Socorro,madrid,meco
HERMANDAD VIRGEN MILAGROSA,madrid,boadilla del monte,Hermandad Virgen Milagrosa,madrid,boadilla del m.
HERMANITAS DE LOS ANCIANOS DESAMPARADOS ARAVACA,madrid,aravaca,Hermanitas de los Ancianos Desamparados,jaén,villanueva del a.
HERMANITAS DE LOS ANCIANOS DESAMPARADOS LAGASCA,madrid,madrid,Hermanitas de los Ancianos Desamparados,jaén,villanueva del a.
"HIJAS DE CRISTO REY, LAS ROZAS",madrid,las rozas,Hijas de Cristo Rey - Colegio,badajoz,talarrubias
"HIJAS DE CRISTO REY, MADRID",madrid,madrid,Hijas de Cristo Rey - Colegio,badajoz,talarrubias
HIJOS DE MARIA EVANGELIZADORA,madrid,getafe,Hijas de María Auxiliadora,cádiz,cádiz
HOGARES DE SANTA MARIA,madrid,madrid,Hijas de María,madrid,madrid
INSPECTORIA `MARIA AUXILIADORA`,madrid,madrid,Hijas Maria Auxiliadora - Colegio,madrid,madrid
INSTITUTO MISIONERAS DEL SAGRADO CORAZON DE JESUS - PROVINCIA MATER GRATIAE,madrid,madrid,Hermanos del Sagrado Corazón de Jesús,madrid,madrid
JUN-OBRA DE LA INMACULADA,madrid,madrid,Parroquia de la Inmaculada,jaén,jaén
JUVENTUDES MARIANAS VICENCIANAS,madrid,madrid,Juventudes Marianas Vicencianas,madrid,leganés
JUVENTUDES MARIANAS VICENCIANAS CENTRO COLEGIO MARIA INMACULADA,madrid,madrid,Fundación María Seoane - Colegio María Inmaculada,pontevedra,silleda
JUVENTUDES MARIANAS VICENCIANAS CENTRO COLEGIO SANTA ISABEL,madrid,madrid,Hijas de la Caridad - Colegio Santa Isabel,madrid,madrid
JUVENTUDES MARIANAS VICENCIANAS DEL CENTRO SAGRADO CORAZON,madrid,madrid,Jesuitas - Centro Sagrado Corazón,madrid,madrid
"LA HORA DE LA PRESENCIA AL CORAZON DE JESUS ",madrid,madrid,Esclavas del Sagrado Corazón de Jesús,madrid,madrid
LEGION DE CRISTO SACERDOTE,madrid,madrid,Legionarios de Cristo,madrid,madrid
LEGION DE MARIA,madrid,madrid,La Misión de María,madrid,madrid
MENSAJEROS DE LOS CORAZONES DE JESUS Y MARIA,madrid,madrid,Religiosas de Jesús María,madrid,madrid
MILICIA DE SANTA MARIA,madrid,madrid,Basílica Santa María,alicante,elche
MISIONERAS DE MARIA REINA,madrid,madrid,La Misión de María,madrid,madrid
MISIONERAS DEL TRABAJO,madrid,madrid,Hermandades del Trabajo,zaragoza,zaragoza
MOVIMIENTO APOSTOLICO DE LA DIVINA MISERICORDIA,madrid,madrid,Apostolado de la Divina Misericordia,valencia,valencia
MOVIMIENTO SCOUT CATOLICO,madrid,madrid,MSC - Movimiento Scout Católico,albacete,albacete
NOVICIADO SIERVAS DE JESUS DE LA CARIDAD,madrid,madrid,Siervas de Jesús - Tierras,madrid,madrid
OBRA DE LA IGLESIA,madrid,madrid,Obra de la Iglesia,madrid,madrid
OBRA DIOCESANA DE CAMPAMENTOS Y ALBERGUES DE MARIA INMACULADA,madrid,madrid,Religiosas de María Inmaculada,madrid,madrid
OBRA MISIONERA EKUMENE,madrid,alcalã de henares,Obra Misionera Ekumene,valencia,valencia
"PIA UNION ""HERMANOS MISIONEROS DE CRISTO""",madrid,madrid,Legionarios de Cristo,madrid,madrid
PROVINCIA DE LA INMACULADA CONCEPCION,madrid,madrid,Parroquia Inmaculada Concepción,burgos,burgos
PROVINCIA DEL ESPIRITU SANTO,madrid,madrid,Misioneros del Espíritu Santo,madrid,madrid
PROVINCIA IBERICA DE SANTA TERESA DE JESUS,madrid,madrid,Parroquia Santa Teresa de Jesús,madrid,colmenar
PROVINCIA SANTA MARIA SOLEDAD,madrid,madrid,Parroquia Santa María la Real,gipuzkoa,azcoitia
"REAL ARCHICOFRADIA SACRAMENTAL DE SANTA MARIA Y HOSPITAL GENERAL, DE MADRID",madrid,madrid,Archicofradía de Santa María y Hospital,madrid,madrid
REAL COFRADIA NUESTRA SEÃORA DE LAS ANGUSTIAS,madrid,aranjuez,Cofradía N. Sra. de las Angustias,cádiz,cádiz
REAL E ILUSTRE COFRADIA DE NUESTRO PADRE JESUS NAZARENO,madrid,san lorenzo de el escorial,Archicofradía de Nuestro Padre Jesús Nazareno,córdoba,lucena
RELIGIOSAS DE MARIA INMACULADA -CASA MADRE-,madrid,madrid,Religiosas de María Inmaculada,madrid,madrid
"RELIGIOSAS DE MARIA INMACULADA -CASA MADRID, RIOS ROSAS-",madrid,madrid,Religiosas de María Inmaculada,madrid,madrid
RELIGIOSAS DE MARIA INMACULADA -CASA MADRID-S.BLAS-,madrid,madrid,Religiosas de María Inmaculada,madrid,madrid
RELIGIOSAS DE MARIA INMACULADA -CASA NOVICIADO-,madrid,buitrago de lozoya,Religiosas de María Inmaculada,madrid,madrid
SERRA CLUB DE MADRID,madrid,madrid,Consejo Evangélico de Madrid,madrid,madrid
SIERVOS DE JESUS,madrid,madrid,Siervas de Jesús,madrid,madrid
UNIVERSIDAD ECLESIASTICA  SAN DAMASO,madrid,madrid,Universidad Eclesiástica San Dámaso,madrid,madrid
	CASA CENTRO ASISTENCIAL SAN JUAN DE DIOS	,mãlaga,malaga,Hospital Residencia San Juan de Dios,córdoba,priego
	CASA COLEGIO MARIA INMACULADA	,mãlaga,antequera,Claretianas - Colegio María Inmaculada,lleida,tremp
	CASA COLEGIO NUESTRA SEÃORA DE LA VICTORIA	,mãlaga,antequera,Franciscanas - Colegio N. Sra. de la Victoria,málaga,antequera
	CASA COLEGIO NUESTRA SEÃORA DEL PILAR	,mãlaga,malaga,Franciscanas - Colegio N. Sra. del Pilar,lugo,foz
	CASA DE LA SANTISIMA TRINIDAD	,mãlaga,antequera,Hermandad de la Santísima Trinidad,tarragona,l'espluga de f.
	CASA DE LA SANTISIMA TRINIDAD	,mãlaga,malaga,Hermandad de la Santísima Trinidad,tarragona,l'espluga de f.
