comunidad_autonoma_codigo,codigo_ine,codigo_ine_completo,nombre_oficial,nombre_alternativo,nombre_cooficial,provincia_codigo,activo
01,04022,0402201,Bédar,Bédar,Bédar,04,True
01,04023,0402307,Beires,Beires,Beires,04,True
01,04024,0402402,Benahadux,Benahadux,Benahadux,04,True
01,04026,0402608,Benitagla,Benitagla,Benitagla,04,True
01,04027,0402704,Benizalón,Benizalón,Benizalón,04,True
01,04028,0402800,Bentarique,Bentarique,Bentarique,04,True
01,04029,0402903,Berja,Berja,Berja,04,True
01,04030,0403007,Canjáyar,Canjáyar,Canjáyar,04,True
01,04031,0403104,Cantoria,Cantoria,Cantoria,04,True
01,04032,0403209,Carboneras,Carboneras,Carboneras,04,True
01,04033,0403305,Castro de Filabres,Castro de Filabres,Castro de Filabres,04,True
01,04036,0403606,Chercos,Chercos,Chercos,04,True
01,04037,0403702,Chirivel,Chirivel,Chirivel,04,True
01,04034,0403400,Cóbdar,Cóbdar,Cóbdar,04,True
01,04035,0403503,Cuevas del Almanzora,Cuevas del Almanzora,Cuevas del Almanzora,04,True
01,04038,0403808,Dalías,Dalías,Dalías,04,True
01,04902,0490206,"Ejido, El","Ejido, El","Ejido, El",04,True
01,04041,0404102,Enix,Enix,Enix,04,True
01,04043,0404303,Felix,Felix,Felix,04,True
01,04044,0404408,Fines,Fines,Fines,04,True
01,04045,0404501,Fiñana,Fiñana,Fiñana,04,True
01,04046,0404604,Fondón,Fondón,Fondón,04,True
01,04047,0404700,Gádor,Gádor,Gádor,04,True
01,04048,0404806,"Gallardos, Los","Gallardos, Los","Gallardos, Los",04,True
01,04049,0404909,Garrucha,Garrucha,Garrucha,04,True
01,04050,0405002,Gérgal,Gérgal,Gérgal,04,True
01,04051,0405109,Huécija,Huécija,Huécija,04,True
01,04052,0405204,Huércal de Almería,Huércal de Almería,Huércal de Almería,04,True
01,04053,0405300,Huércal-Overa,Huércal,Overa,04,True
01,04054,0405405,Íllar,Íllar,Íllar,04,True
01,04055,0405508,Instinción,Instinción,Instinción,04,True
